"itemId","名称","成功率","效果","状态","备注"
"2041061","[4周年]披风敏捷卷轴20%","20%","敏捷+3，失败破坏率 30%","本次新增",""
"2041062","[4周年]披风幸运卷轴20%","20%","运气+3，失败破坏率 30%","本次新增",""
"2041068","披风魔法防御卷轴50%","50%","魔法防御+5，物理防御+4","本次新增",""
"2041069","披风物理防御卷轴50%","50%","物理防御+5，魔法防御+4","本次新增",""
"2041101","戒指力量卷轴","60%","力量+2","本次新增",""
"2041102","戒指力量卷轴","10%","力量+3","本次新增",""
"2041104","戒指智力卷轴","60%","智力+2","本次新增",""
"2041105","戒指智力卷轴","10%","智力+3","本次新增",""
"2041107","戒指敏捷卷轴","60%","敏捷+2","本次新增",""
"2041108","戒指敏捷卷轴","10%","敏捷+3","本次新增",""
"2041110","戒指运气卷轴","60%","运气+2","本次新增",""
"2041111","戒指运气卷轴","10%","运气+3","本次新增",""
"2041112","戒指力量诅咒卷轴","70%","最大HP+10，失败破坏率 50%","本次新增",""
"2041113","戒指力量诅咒卷轴","30%","力量+3，失败破坏率 50%","本次新增",""
"2041114","戒指智力诅咒卷轴","70%","智力+2，失败破坏率 50%","本次新增",""
"2041115","戒指智力诅咒卷轴","30%","智力+3，失败破坏率 50%","本次新增",""
"2041116","戒指敏捷诅咒卷轴","70%","敏捷+2，失败破坏率 50%","本次新增",""
"2041117","戒指敏捷诅咒卷轴","30%","敏捷+3，失败破坏率 50%","本次新增",""
"2041118","戒指运气诅咒卷轴","70%","运气+2，失败破坏率 50%","本次新增",""
"2041119","戒指运气诅咒卷轴","30%","运气+3，失败破坏率 50%","本次新增",""
"2041211","休彼德蔓的珠子","60%","最大HP+30，最大MP+30","本次新增",""
"2041212","智慧之石","60%","最大HP+70，最大MP+70","本次新增",""
"2041301","腰带力量卷轴60%","60%","力量+2","本次新增",""
"2041302","腰带力量卷轴10%","10%","力量+3","本次新增",""
"2041304","腰带智力卷轴60%","60%","智力+2","本次新增",""
"2041305","腰带智力卷轴10%","10%","智力+3","本次新增",""
"2041307","腰带敏捷卷轴60%","60%","敏捷+2","本次新增",""
"2041308","腰带敏捷卷轴10%","10%","敏捷+3","本次新增",""
"2041310","腰带运气卷轴60%","60%","运气+2","本次新增",""
"2041311","腰带运气卷轴10%","10%","运气+3","本次新增",""
"2041312","腰带力量诅咒卷轴70%","70%","力量+2，失败破坏率 50%","本次新增",""
"2041313","腰带力量诅咒卷轴30%","30%","力量+3，失败破坏率 50%","本次新增",""
"2041314","腰带智力诅咒卷轴70%","70%","智力+2，失败破坏率 50%","本次新增",""
"2041315","腰带智力诅咒卷轴30%","30%","智力+3，失败破坏率 50%","本次新增",""
"2041316","腰带敏捷诅咒卷轴70%","70%","敏捷+2，失败破坏率 50%","本次新增",""
"2041317","腰带敏捷诅咒卷轴30%","30%","敏捷+3，失败破坏率 50%","本次新增",""
"2041318","腰带运气诅咒卷轴70%","70%","运气+2，失败破坏率 50%","本次新增",""
"2041319","腰带运气诅咒卷轴30%","30%","运气+3，失败破坏率 50%","本次新增",""
"2043001","单手剑攻击卷轴","60%","物理攻击+2，力量+1","本次新增",""
"2043002","单手剑攻击卷轴","10%","物理攻击+5，力量+3，物理防御+1","原商店已有",""
"2043004","单手剑攻击诅咒卷轴","70%","物理攻击+2，力量+1，失败破坏率 50%","本次新增",""
"2043005","单手剑攻击诅咒卷轴","30%","物理攻击+5，力量+3，物理防御+1，失败破坏率 50%","本次新增",""
"2043006","单手剑魔力诅咒卷轴70%","70%","失败破坏率 50%，魔法攻击+1，智力+1","本次新增",""
"2043007","单手剑魔力诅咒卷轴30%","30%","失败破坏率 50%，魔法攻击+2，智力+2，魔法防御+1","本次新增",""
"2043008","单手剑魔力卷轴10%","10%","魔法攻击+2，智力+2，魔法防御+1","原商店已有",""
"2043009","单手剑魔力卷轴60%","60%","魔法攻击+1，智力+1","本次新增",""
"2043011","单手剑攻击卷轴","65%","物理攻击+2，力量+1","本次新增",""
"2043012","单手剑攻击卷轴","15%","物理攻击+5，力量+3，物理防御+1","本次新增",""
"2043013","【4周年】单手剑攻击卷轴","40%","物理攻击+3，力量+2，失败破坏率 30%","本次新增",""
"2043016","单手剑命中率卷轴","70%","命中+3，敏捷+2，物理攻击+1，失败破坏率 50%","本次新增",""
"2043017","单手剑命中率卷轴","60%","命中+3，敏捷+2，物理攻击+1","本次新增",""
"2043018","单手剑命中率卷轴","30%","命中+5，敏捷+3，物理攻击+3，失败破坏率 50%","本次新增",""
"2043019","单手剑命中率卷轴","10%","命中+5，敏捷+3，物理攻击+3","原商店已有",""
"2043021","企鹅国王的单手剑攻击卷轴60%","60%","物理攻击+2，力量+1","本次新增",""
"2043022","单手剑攻击卷轴50%","50%","物理攻击+5，力量+3，敏捷+1","本次新增",""
"2043024","单手剑命中卷轴65%","65%","命中+3，敏捷+2，物理攻击+1","本次新增",""
"2043025","单手剑命中卷轴15%","15%","命中+5，敏捷+3，物理攻击+3","本次新增",""
"2043101","单手斧攻击卷轴","60%","物理攻击+2，力量+1","本次新增",""
"2043102","单手斧攻击卷轴","10%","物理攻击+5，力量+3，物理防御+1","原商店已有",""
"2043104","单手斧攻击诅咒卷轴","70%","物理攻击+2，力量+1，失败破坏率 50%","本次新增",""
"2043105","单手斧攻击诅咒卷轴","30%","物理攻击+5，力量+3，物理防御+1，失败破坏率 50%","本次新增",""
"2043106","单手斧攻击卷轴","65%","物理攻击+2，力量+1","本次新增",""
"2043107","单手斧攻击卷轴","15%","物理攻击+5，力量+3，物理防御+1","本次新增",""
"2043108","【4周年】单手斧攻击卷轴","40%","物理攻击+3，力量+2，失败破坏率 30%","本次新增",""
"2043111","单手钝器命中率卷轴","70%","命中+3，敏捷+2，物理攻击+1，失败破坏率 50%","本次新增",""
"2043112","单手斧命中率卷轴","60%","命中+3，敏捷+2，物理攻击+1","本次新增",""
"2043113","单手钝器命中率卷轴","30%","命中+5，敏捷+3，物理攻击+3，失败破坏率 50%","本次新增",""
"2043114","单手斧命中率卷轴","10%","命中+5，敏捷+3，物理攻击+3","原商店已有",""
"2043116","企鹅国王的单手斧攻击卷轴60%","60%","物理攻击+2，力量+1","本次新增",""
"2043118","单手斧命中卷轴65%","65%","命中+3，敏捷+2，物理攻击+1","本次新增",""
"2043119","单手斧命中卷轴15%","15%","命中+5，敏捷+3，物理攻击+3","本次新增",""
"2043120","单手斧攻击卷轴50%","50%","物理攻击+5，力量+3，敏捷+1","本次新增",""
"2043201","单手钝器攻击卷轴","60%","物理攻击+2，力量+1","本次新增",""
"2043202","单手钝器攻击卷轴","10%","物理攻击+5，力量+3，物理防御+1","原商店已有",""
"2043204","单手钝器攻击诅咒卷轴","70%","物理攻击+2，力量+1，失败破坏率 50%","本次新增",""
"2043205","单手钝器攻击诅咒卷轴","30%","物理攻击+5，力量+3，物理防御+1，失败破坏率 50%","本次新增",""
"2043206","单手钝器攻击卷轴","65%","物理攻击+2，力量+1","本次新增",""
"2043207","单手钝器攻击卷轴","15%","物理攻击+5，力量+3，物理防御+1","本次新增",""
"2043208","【4周年】单手钝器攻击卷轴","40%","物理攻击+3，力量+2，失败破坏率 30%","本次新增",""
"2043211","单手钝器命中率卷轴 ","70%","命中+3，敏捷+2，物理攻击+1，失败破坏率 50%","本次新增",""
"2043212","单手钝器命中率卷轴","60%","命中+3，敏捷+2，物理攻击+1","本次新增",""
"2043213","单手钝器命中率卷轴","30%","命中+5，敏捷+3，物理攻击+3，失败破坏率 50%","本次新增",""
"2043214","单手钝器命中率卷轴","10%","命中+5，敏捷+3，物理攻击+3","原商店已有",""
"2043216","企鹅国王的单手钝器攻击卷轴60%","60%","物理攻击+2，力量+1","本次新增",""
"2043218","单手钝器命中卷轴65%","65%","命中+3，敏捷+2，物理攻击+1","本次新增",""
"2043219","单手钝器命中卷轴15%","15%","命中+5，敏捷+3，物理攻击+3","本次新增",""
"2043220","单手钝器攻击卷轴50%","50%","物理攻击+5，力量+3，敏捷+1","本次新增",""
"2043301","短剑攻击卷轴","60%","物理攻击+2，运气+1","本次新增",""
"2043302","短剑攻击卷轴","10%","物理攻击+5，运气+3，物理防御+1","原商店已有",""
"2043304","短剑攻击诅咒卷轴","70%","物理攻击+2，运气+1，失败破坏率 50%","本次新增",""
"2043305","短剑攻击诅咒卷轴","30%","物理攻击+5，运气+3，物理防御+1，失败破坏率 50%","本次新增",""
"2043306","短剑攻击卷轴","65%","物理攻击+2，运气+1","本次新增",""
"2043307","短剑攻击卷轴","15%","物理攻击+5，运气+3，物理防御+1","本次新增",""
"2043308","【4周年】短剑攻击卷轴","40%","物理攻击+3，运气+2，失败破坏率 30%","本次新增",""
"2043311","企鹅国王的短剑攻击卷轴60%","60%","物理攻击+2，运气+1","本次新增",""
"2043313","短剑攻击卷轴50%","50%","物理攻击+5，运气+3，敏捷+1","本次新增",""
"2043701","短杖魔力卷轴","60%","魔法攻击+2，智力+1","本次新增",""
"2043702","短杖魔力卷轴","10%","魔法攻击+5，智力+3，魔法防御+1","原商店已有",""
"2043704","短杖魔力诅咒卷轴","70%","魔法攻击+2，智力+1，失败破坏率 50%","本次新增",""
"2043705","短杖魔力诅咒卷轴","30%","失败破坏率 50%，魔法攻击+5，智力+3，魔法防御+1","本次新增",""
"2043706","短杖魔力卷轴","65%","魔法攻击+2，智力+1","本次新增",""
"2043707","短杖魔力卷轴","15%","魔法攻击+5，智力+3，魔法防御+1","本次新增",""
"2043708","【4周年】短杖魔力卷轴","40%","魔法攻击+3，智力+2，失败破坏率 30%","本次新增",""
"2043711","企鹅国王的短杖魔力卷轴60%","60%","魔法攻击+2，智力+1","本次新增",""
"2043713","短仗攻击卷轴50%","50%","魔法攻击+5，智力+3，运气+1","本次新增",""
"2043801","长杖魔力卷轴","60%","魔法攻击+2，智力+1","本次新增",""
"2043802","长杖魔力卷轴","10%","魔法攻击+5，智力+3，魔法防御+1","原商店已有",""
"2043804","长杖魔力诅咒卷轴","70%","魔法攻击+2，智力+1，失败破坏率 50%","本次新增",""
"2043805","长杖魔力诅咒卷轴","30%","魔法攻击+5，智力+3，魔法防御+1，失败破坏率 50%","本次新增",""
"2043806","长杖魔力卷轴","65%","魔法攻击+2，智力+1","本次新增",""
"2043807","长杖魔力卷轴","15%","魔法攻击+5，智力+3，魔法防御+1","本次新增",""
"2043808","【4周年】长杖魔力卷轴","40%","魔法攻击+3，智力+2，失败破坏率 30%","本次新增",""
"2043811","企鹅国王的长杖魔力卷轴60%","60%","魔法攻击+2，智力+1","本次新增",""
"2043813","长仗攻击卷轴50%","50%","魔法攻击+5，智力+3，运气+1","本次新增",""
"2044001","双手剑攻击卷轴","60%","物理攻击+2，力量+1","本次新增",""
"2044002","双手剑攻击卷轴","10%","物理攻击+5，力量+3，物理防御+1","原商店已有",""
"2044004","双手剑攻击诅咒卷轴","70%","物理攻击+2，力量+1，失败破坏率 50%","本次新增",""
"2044005","双手剑攻击诅咒卷轴","30%","物理攻击+5，力量+3，物理防御+1，失败破坏率 50%","本次新增",""
"2044006","双手剑攻击卷轴","65%","物理攻击+2，力量+1","本次新增",""
"2044007","双手剑攻击卷轴","15%","物理攻击+5，力量+3，物理防御+1","本次新增",""
"2044008","【4周年】双手剑攻击卷轴","40%","物理攻击+3，力量+2，失败破坏率 30%","本次新增",""
"2044011","双手剑命中率卷轴 ","70%","命中+3，敏捷+2，物理攻击+1，失败破坏率 50%","本次新增",""
"2044012","双手剑命中率卷轴","60%","命中+3，敏捷+2，物理攻击+1","本次新增",""
"2044013","双手剑命中率卷轴 ","30%","命中+5，敏捷+3，物理攻击+3，失败破坏率 50%","本次新增",""
"2044014","双手剑命中率卷轴","10%","命中+5，敏捷+3，物理攻击+3","原商店已有",""
"2044015","双手剑攻击卷轴","10%","物理攻击+5，力量+3，物理防御+1","本次新增",""
"2044024","企鹅国王的双手剑攻击卷轴60","60%","物理攻击+2，力量+1","本次新增",""
"2044026","双手剑命中卷轴65%","65%","命中+3，敏捷+2，物理攻击+1","本次新增",""
"2044027","双手剑命中卷轴15%","15%","命中+5，敏捷+3，物理攻击+3","本次新增",""
"2044028","双手剑攻击卷轴50%","50%","物理攻击+5，力量+3，敏捷+1","本次新增",""
"2044101","双手斧攻击卷轴","60%","物理攻击+2，力量+1","本次新增",""
"2044102","双手斧攻击卷轴","10%","物理攻击+5，力量+3，物理防御+1","原商店已有",""
"2044104","双手斧攻击诅咒卷轴","70%","物理攻击+2，力量+1，失败破坏率 50%","本次新增",""
"2044105","双手斧攻击诅咒卷轴","30%","物理攻击+5，力量+3，物理防御+1，失败破坏率 50%","本次新增",""
"2044106","双手斧攻击卷轴","65%","物理攻击+2，力量+1","本次新增",""
"2044107","双手斧攻击卷轴","15%","物理攻击+5，力量+3，物理防御+1","本次新增",""
"2044108","【4周年】双手斧攻击卷轴","40%","物理攻击+3，力量+2，失败破坏率 30%","本次新增",""
"2044111","双手斧命中率卷轴 ","70%","命中+3，敏捷+2，物理攻击+1，失败破坏率 50%","本次新增",""
"2044112","双手斧命中率卷轴","60%","命中+3，敏捷+2，物理攻击+1","本次新增",""
"2044113","双手斧命中率卷轴","30%","命中+5，敏捷+3，物理攻击+3，失败破坏率 50%","本次新增",""
"2044114","双手斧命中率卷轴 ","10%","命中+5，敏捷+3，物理攻击+3","原商店已有",""
"2044116","企鹅国王的双手斧攻击卷轴60%","60%","物理攻击+2，力量+1","本次新增",""
"2044118","双手斧命中卷轴65%","65%","命中+3，敏捷+2，物理攻击+1","本次新增",""
"2044119","双手斧命中卷轴15%","15%","命中+5，敏捷+3，物理攻击+3","本次新增",""
"2044120","双手斧攻击卷轴50%","50%","物理攻击+5，力量+3，敏捷+1","本次新增",""
"2044201","双手钝器攻击卷轴","60%","物理攻击+2，力量+1","本次新增",""
"2044202","双手钝器攻击卷轴","10%","物理攻击+5，力量+3，物理防御+1","原商店已有",""
"2044204","双手钝器攻击诅咒卷轴","70%","物理攻击+2，力量+1，失败破坏率 50%","本次新增",""
"2044205","双手钝器攻击诅咒卷轴","30%","物理攻击+5，力量+3，物理防御+1，失败破坏率 50%","本次新增",""
"2044206","双手钝器攻击卷轴","65%","物理攻击+2，力量+1","本次新增",""
"2044207","双手钝器攻击卷轴","15%","物理攻击+5，力量+3，物理防御+1","本次新增",""
"2044208","【4周年】双手钝器攻击卷轴","40%","物理攻击+3，力量+2，失败破坏率 30%","本次新增",""
"2044211","双手钝器命中率卷轴","70%","命中+3，敏捷+2，物理攻击+1，失败破坏率 50%","本次新增",""
"2044212","双手钝器命中率卷轴","60%","命中+3，敏捷+2，物理攻击+1","本次新增",""
"2044213","双手钝器命中率卷轴","30%","命中+5，敏捷+3，物理攻击+3，失败破坏率 50%","本次新增",""
"2044214","双手钝器命中率卷轴","10%","命中+5，敏捷+3，物理攻击+3","原商店已有",""
"2044216","企鹅国王的双手钝器攻击卷轴60%","60%","物理攻击+2，力量+1","本次新增",""
"2044218","双手钝器命中卷轴65%","65%","命中+3，敏捷+2，物理攻击+1","本次新增",""
"2044219","双手钝器命中卷轴15%","15%","命中+5，敏捷+3，物理攻击+3","本次新增",""
"2044220","双手钝器攻击卷轴50%","50%","物理攻击+5，力量+3，敏捷+1","本次新增",""
"2044301","枪攻击卷轴","60%","物理攻击+2，力量+1","本次新增",""
"2044302","枪攻击卷轴","10%","物理攻击+5，力量+3，物理防御+1","原商店已有",""
"2044304","枪攻击诅咒卷轴","70%","物理攻击+2，力量+1，失败破坏率 50%","本次新增",""
"2044305","枪攻击诅咒卷轴","30%","物理攻击+5，力量+3，物理防御+1，失败破坏率 50%","本次新增",""
"2044306","枪攻击卷轴","65%","物理攻击+2，力量+1","本次新增",""
"2044307","枪攻击卷轴","15%","物理攻击+5，力量+3，物理防御+1","本次新增",""
"2044308","【4周年】枪攻击卷轴","40%","物理攻击+3，力量+2，失败破坏率 30%","本次新增",""
"2044311","枪命中率卷轴 ","70%","命中+3，敏捷+2，物理攻击+1，失败破坏率 50%","本次新增",""
"2044312","枪命中率卷轴","60%","命中+3，敏捷+2，物理攻击+1","本次新增",""
"2044313","枪命中率卷轴","30%","命中+5，敏捷+3，物理攻击+3，失败破坏率 50%","本次新增",""
"2044314","枪命中率卷轴","10%","命中+5，敏捷+3，物理攻击+3","原商店已有",""
"2044316","企鹅国王的枪攻击卷轴60%","60%","物理攻击+2，力量+1","本次新增",""
"2044318","枪命中卷轴65%","65%","命中+3，敏捷+2，物理攻击+1","本次新增",""
"2044319","枪命中卷轴15%","15%","命中+5，敏捷+3，物理攻击+3","本次新增",""
"2044320","枪攻击卷轴50%","50%","物理攻击+5，力量+3，敏捷+1","本次新增",""
"2044401","矛攻击卷轴","60%","物理攻击+2，力量+1","本次新增",""
"2044402","矛攻击卷轴","10%","物理攻击+5，力量+3，物理防御+1","原商店已有",""
"2044404","矛攻击诅咒卷轴","70%","物理攻击+2，力量+1，失败破坏率 50%","本次新增",""
"2044405","矛攻击诅咒卷轴","30%","物理攻击+5，力量+3，物理防御+1，失败破坏率 50%","本次新增",""
"2044406","矛攻击卷轴","65%","物理攻击+2，力量+1","本次新增",""
"2044407","矛攻击卷轴","15%","物理攻击+5，力量+3，物理防御+1","本次新增",""
"2044408","【4周年】矛攻击卷轴","40%","物理攻击+3，力量+2，失败破坏率 30%","本次新增",""
"2044411","矛命中率卷轴","70%","命中+3，敏捷+2，物理攻击+1，失败破坏率 50%","本次新增",""
"2044412","矛命中率卷轴","60%","命中+3，敏捷+2，物理攻击+1","本次新增",""
"2044413","矛命中率卷轴","30%","命中+5，敏捷+3，物理攻击+3，失败破坏率 50%","本次新增",""
"2044414","矛命中率卷轴 ","10%","命中+5，敏捷+3，物理攻击+3","原商店已有",""
"2044416","企鹅国王的矛攻击卷轴60","60%","物理攻击+2，力量+1","本次新增",""
"2044418","矛命中卷轴65%","65%","命中+3，敏捷+2，物理攻击+1","本次新增",""
"2044419","矛命中卷轴15%","15%","命中+5，敏捷+3，物理攻击+3","本次新增",""
"2044420","矛攻击卷轴50%","50%","物理攻击+5，力量+3，敏捷+1","本次新增",""
"2044501","弓攻击卷轴","60%","物理攻击+2，命中+1","本次新增",""
"2044502","弓攻击卷轴","10%","物理攻击+5，命中+3，敏捷+1","原商店已有",""
"2044504","弓攻击诅咒卷轴","70%","物理攻击+2，命中+1，失败破坏率 50%","本次新增",""
"2044505","弓攻击诅咒卷轴","30%","物理攻击+5，命中+3，敏捷+1，失败破坏率 50%","本次新增",""
"2044506","弓攻击卷轴","65%","物理攻击+2，命中+1","本次新增",""
"2044507","弓攻击卷轴","15%","物理攻击+5，命中+3，敏捷+1","本次新增",""
"2044508","【4周年】弓攻击卷轴","40%","物理攻击+3，命中+1，失败破坏率 30%","本次新增",""
"2044511","企鹅国王的弓攻击卷轴60%s","60%","物理攻击+2，命中+1","本次新增",""
"2044513","弓攻击卷轴50%","50%","物理攻击+5，敏捷+1，力量+1","本次新增",""
"2044601","弩攻击卷轴","60%","物理攻击+2，命中+1","本次新增",""
"2044602","弩攻击卷轴","10%","物理攻击+5，命中+3，敏捷+1","原商店已有",""
"2044604","弩攻击诅咒卷轴","70%","物理攻击+2，命中+1，失败破坏率 50%","本次新增",""
"2044605","弩攻击诅咒卷轴","30%","物理攻击+5，命中+3，敏捷+1，失败破坏率 50%","本次新增",""
"2044606","弩攻击卷轴","65%","物理攻击+2，命中+1","本次新增",""
"2044607","弩攻击卷轴","15%","物理攻击+5，命中+3，敏捷+1","本次新增",""
"2044608","【4周年】弩攻击卷轴","40%","物理攻击+3，命中+2，失败破坏率 30%","本次新增",""
"2044611","企鹅国王的弩攻击卷轴60%","60%","物理攻击+2，命中+1","本次新增",""
"2044613","弩攻击卷轴50%","50%","物理攻击+5，敏捷+1，力量+1","本次新增",""
"2044701","拳套攻击卷轴","60%","物理攻击+2，命中+1","本次新增",""
"2044702","拳套攻击卷轴","10%","物理攻击+5，命中+3，运气+1","原商店已有",""
"2044704","拳套攻击诅咒卷轴","70%","物理攻击+2，命中+1，失败破坏率 50%","本次新增",""
"2044705","拳套攻击诅咒卷轴","30%","物理攻击+5，命中+3，运气+1，失败破坏率 50%","本次新增",""
"2044706","拳套攻击卷轴","65%","物理攻击+2，命中+1","本次新增",""
"2044707","拳套攻击卷轴","15%","物理攻击+5，命中+3，运气+1","本次新增",""
"2044708","【4周年】拳套攻击卷轴","40%","物理攻击+3，命中+2，失败破坏率 30%","本次新增",""
"2044711","企鹅国王的拳套攻击卷轴60%","60%","物理攻击+2，命中+1","本次新增",""
"2044713","指节攻击卷轴50%","50%","物理攻击+5，运气+1，敏捷+1","本次新增",""
"2044801","拳甲攻击卷轴","60%","物理攻击+2，力量+1","本次新增",""
"2044802","拳甲攻击卷轴","10%","物理攻击+5，力量+3，物理防御+1","原商店已有",""
"2044803","拳甲攻击卷轴","70%","物理攻击+2，力量+1，失败破坏率 50%","本次新增",""
"2044804","拳甲攻击卷轴","30%","物理攻击+5，力量+3，物理防御+1，失败破坏率 50%","本次新增",""
"2044806","拳甲命中率卷轴","70%","命中+3，敏捷+2，物理攻击+1，失败破坏率 50%","本次新增",""
"2044807","拳甲命中率卷轴","60%","命中+3，敏捷+2，物理攻击+1","本次新增",""
"2044808","拳甲命中率卷轴","30%","命中+5，敏捷+3，物理攻击+3，失败破坏率 50%","本次新增",""
"2044809","拳甲命中率卷轴","10%","命中+5，敏捷+3，物理攻击+3","本次新增",""
"2044810","[4周年]拳甲攻击卷轴40%","40%","物理攻击+3，力量+2，失败破坏率 30%","本次新增",""
"2044811","指节攻击卷轴65%","65%","物理攻击+2，力量+1","本次新增",""
"2044812","指节攻击卷轴15%","15%","物理攻击+5，力量+3，物理防御+1","本次新增",""
"2044813","指节命中卷轴65%","65%","命中+3，敏捷+2，物理攻击+1","本次新增",""
"2044814","指节命中卷轴15%","15%","命中+5，敏捷+3，物理攻击+3","本次新增",""
"2044816","企鹅国王的指节攻击卷轴60%","60%","物理攻击+2，力量+1","本次新增",""
"2044817","指节攻击卷轴50%","50%","物理攻击+5，力量+3，敏捷+1","本次新增",""
"2044901","短枪攻击卷轴","60%","物理攻击+2，命中+1","本次新增",""
"2044902","短枪攻击卷轴","10%","物理攻击+5，命中+3，敏捷+1","原商店已有",""
"2044903","短枪攻击卷轴","70%","物理攻击+2，命中+1，失败破坏率 50%","本次新增",""
"2044904","短枪攻击卷轴","30%","物理攻击+5，命中+3，敏捷+1，失败破坏率 50%","本次新增",""
"2044905","[4周年]短枪攻击卷轴40%","40%","物理攻击+3，命中+2，失败破坏率 30%","本次新增",""
"2044906","短枪攻击卷轴65%","65%","物理攻击+2，命中+1","本次新增",""
"2044907","短枪攻击卷轴15%","15%","物理攻击+5，命中+3，敏捷+1","本次新增",""
"2044909","企鹅国王的枪攻击卷轴60%","60%","物理攻击+2，命中+1","本次新增",""
"2044910","短枪攻击卷轴50%","50%","物理攻击+5，敏捷+1，运气+1","本次新增",""
"2048001","宠物速度卷轴","60%","移动速度+2","本次新增",""
"2048002","宠物速度卷轴","10%","移动速度+3","原商店已有",""
"2048004","宠物跳跃力卷轴","60%","跳跃+2","本次新增",""
"2048005","宠物跳跃力卷轴","10%","跳跃+3","原商店已有",""
"2048006","宠物移动卷轴","65%","移动速度+2","本次新增",""
"2048007","宠物移动卷轴","15%","移动速度+3","本次新增",""
"2048008","宠物跳跃卷轴","65%","跳跃+2","本次新增",""
"2048009","宠物跳跃卷轴","15%","跳跃+3","本次新增",""
"2048010","宠物力量卷轴","60%","力量+1","原商店已有",""
"2048011","宠物智力卷轴","60%","智力+1","原商店已有",""
"2048012","宠物敏捷卷轴","60%","敏捷+1","原商店已有",""
"2048013","宠物幸运卷轴","60%","运气+1","原商店已有",""
"2049000","白医卷轴","1%","恢复+1，失败破坏率 2%","原商店已有",""
"2049001","白医卷轴","3%","恢复+1，失败破坏率 6%","原商店已有",""
"2049002","白医卷轴","5%","恢复+1，失败破坏率 10%","原商店已有",""
"2049003","白医卷轴","20%","恢复+1，失败破坏率 50%","原商店已有",""
"2049100","混沌卷轴60%","60%","随机属性+1","原商店已有",""
"2049105","[4周年]枫叶手套攻击力诅咒卷轴","70%","物理攻击+1，失败破坏率 50%","本次新增",""
"2049106","[4周年]枫叶手套攻击力诅咒卷轴","30%","物理攻击+2，失败破坏率 80%","本次新增",""
"2049107","[4周年]枫叶手套力量诅咒卷轴","70%","力量+1，失败破坏率 50%，命中+2","本次新增",""
"2049108","[4周年]枫叶手套运气诅咒卷轴","70%","运气+1，失败破坏率 50%，命中+2","本次新增",""
"2049109","[4周年]枫叶手套智力诅咒卷轴","70%","智力+1，失败破坏率 50%，命中+2","本次新增",""
"2049110","[4周年]枫叶手套敏捷诅咒卷轴","70%","敏捷+1，失败破坏率 50%，命中+2","本次新增",""
"2049200","配饰力量卷轴70%","70%","力量+2，失败破坏率 50%","本次新增",""
"2049201","配饰力量卷轴30%","30%","力量+3，失败破坏率 50%","本次新增",""
"2049202","配饰敏捷卷轴70%","70%","敏捷+2，失败破坏率 50%","本次新增",""
"2049203","配饰敏捷卷轴30%","30%","敏捷+3，失败破坏率 50%","本次新增",""
"2049204","配饰智力卷轴70%","70%","智力+2，失败破坏率 50%","本次新增",""
"2049205","配饰智力卷轴30%","30%","智力+3，失败破坏率 50%","本次新增",""
"2049206","配饰幸运卷轴70%","70%","运气+2，失败破坏率 50%","本次新增",""
"2049207","配饰幸运卷轴30%","30%","运气+3，失败破坏率 50%","本次新增",""
"2049208","配饰HP卷轴70%","70%","最大HP+10，失败破坏率 50%","本次新增",""
"2049209","配饰HP卷轴30%","30%","最大HP+30，失败破坏率 50%","本次新增",""
"2049210","配饰MP卷轴70%","70%","最大MP+10，失败破坏率 50%","本次新增",""
"2049211","配饰MP卷轴30%","30%","最大MP+30，失败破坏率 50%","本次新增",""
